task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177623626,1774177627417,3.791
Blast2,C1-node2,worker-c1-2,1774177582062,1774177598046,15.984
Blast1,C1-node1,worker-c1-1,1774177582061,1774177598348,16.287
Drawgram2,C1-node2,worker-c1-2,1774177627422,1774177630187,2.765
Drawgram1,C1-node1,worker-c1-1,1774177627425,1774177630098,2.673
Clustalw1,C1-node1,worker-c1-1,1774177598355,1774177623620,25.265
Protpars,C1-node2,worker-c1-2,1774177623628,1774177627408,3.780
Clustalw2,C1-node2,worker-c1-2,1774177598352,1774177623168,24.816
