task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258343625,1774258343909,0.284
Blast2,C1-node2,worker-c1-2,1774258341261,1774258342184,0.923
Blast1,C1-node1,worker-c1-1,1774258341255,1774258342185,0.930
Drawgram2,C1-node2,worker-c1-2,1774258343913,1774258344175,0.262
Drawgram1,C1-node1,worker-c1-1,1774258343912,1774258344172,0.260
Clustalw1,C1-node1,worker-c1-1,1774258342194,1774258343616,1.422
Protpars,C1-node2,worker-c1-2,1774258343627,1774258343905,0.278
Clustalw2,C1-node2,worker-c1-2,1774258342190,1774258343621,1.431
