task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258457471,1774258457757,0.286
Blast2,C1-node2,worker-c1-2,1774258455128,1774258456043,0.915
Blast1,C1-node1,worker-c1-1,1774258455125,1774258456040,0.915
Drawgram2,C1-node2,worker-c1-2,1774258457763,1774258458035,0.272
Drawgram1,C1-node1,worker-c1-1,1774258457762,1774258458033,0.271
Clustalw1,C1-node1,worker-c1-1,1774258456053,1774258457468,1.415
Protpars,C1-node2,worker-c1-2,1774258457475,1774258457758,0.283
Clustalw2,C1-node2,worker-c1-2,1774258456050,1774258457465,1.415
