task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177526049,1774177528556,2.507
Blast2,C1-node2,worker-c1-2,1774177487413,1774177503512,16.099
Blast1,C1-node1,worker-c1-1,1774177487410,1774177503456,16.046
Drawgram2,C1-node2,worker-c1-2,1774177528560,1774177530819,2.259
Drawgram1,C1-node1,worker-c1-1,1774177528565,1774177530810,2.245
Clustalw1,C1-node1,worker-c1-1,1774177503519,1774177526045,22.526
Protpars,C1-node2,worker-c1-2,1774177526052,1774177528549,2.497
Clustalw2,C1-node2,worker-c1-2,1774177503517,1774177526034,22.517
