task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C2-node1,worker-c2-1,1774258259485,1774258260017,0.532
Blast2,C2-node1,worker-c2-1,1774258247299,1774258249502,2.203
Blast1,C1-node1,worker-c1-1,1774258247294,1774258248152,0.858
Drawgram2,C1-node1,worker-c1-1,1774258260027,1774258260329,0.302
Drawgram1,C2-node1,worker-c2-1,1774258260027,1774258260494,0.467
Clustalw1,C1-node1,worker-c1-1,1774258249511,1774258250849,1.338
Protpars,C1-node1,worker-c1-1,1774258256711,1774258256947,0.236
Clustalw2,C1-node1,worker-c1-1,1774258255365,1774258256708,1.343
