task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258281659,1774258281942,0.283
Blast2,C1-node2,worker-c1-2,1774258279351,1774258280234,0.883
Blast1,C1-node1,worker-c1-1,1774258279349,1774258280237,0.888
Drawgram2,C1-node2,worker-c1-2,1774258281949,1774258282214,0.265
Drawgram1,C1-node1,worker-c1-1,1774258281952,1774258282217,0.265
Clustalw1,C1-node1,worker-c1-1,1774258280242,1774258281652,1.410
Protpars,C1-node2,worker-c1-2,1774258281657,1774258281947,0.290
Clustalw2,C1-node2,worker-c1-2,1774258280243,1774258281633,1.390
