task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258390275,1774258390557,0.282
Blast2,C1-node2,worker-c1-2,1774258387859,1774258388791,0.932
Blast1,C1-node1,worker-c1-1,1774258387856,1774258388803,0.947
Drawgram2,C1-node2,worker-c1-2,1774258390563,1774258390847,0.284
Drawgram1,C1-node1,worker-c1-1,1774258390561,1774258390833,0.272
Clustalw1,C1-node1,worker-c1-1,1774258388813,1774258390259,1.446
Protpars,C1-node2,worker-c1-2,1774258390276,1774258390558,0.282
Clustalw2,C1-node2,worker-c1-2,1774258388810,1774258390270,1.460
