task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177943390,1774177945538,2.148
Blast2,C1-node2,worker-c1-2,1774177907117,1774177923130,16.013
Blast1,C1-node1,worker-c1-1,1774177907116,1774177923337,16.221
Drawgram2,C1-node2,worker-c1-2,1774177945552,1774177948013,2.461
Drawgram1,C1-node1,worker-c1-1,1774177945549,1774177948006,2.457
Clustalw1,C1-node1,worker-c1-1,1774177923345,1774177943017,19.672
Protpars,C1-node2,worker-c1-2,1774177943393,1774177945545,2.152
Clustalw2,C1-node2,worker-c1-2,1774177923342,1774177943385,20.043
