task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258312394,1774258312683,0.289
Blast2,C1-node2,worker-c1-2,1774258310148,1774258311031,0.883
Blast1,C1-node1,worker-c1-1,1774258310149,1774258311033,0.884
Drawgram2,C1-node2,worker-c1-2,1774258312694,1774258313009,0.315
Drawgram1,C1-node1,worker-c1-1,1774258312693,1774258313000,0.307
Clustalw1,C1-node1,worker-c1-1,1774258311040,1774258312381,1.341
Protpars,C1-node2,worker-c1-2,1774258312391,1774258312689,0.298
Clustalw2,C1-node2,worker-c1-2,1774258311036,1774258312387,1.351
