task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177428672,1774177431515,2.843
Blast2,C1-node2,worker-c1-2,1774177390074,1774177405144,15.070
Blast1,C1-node1,worker-c1-1,1774177390072,1774177405075,15.003
Drawgram2,C1-node2,worker-c1-2,1774177431522,1774177434143,2.621
Drawgram1,C1-node1,worker-c1-1,1774177431521,1774177434131,2.610
Clustalw1,C1-node1,worker-c1-1,1774177405150,1774177428662,23.512
Protpars,C1-node2,worker-c1-2,1774177428669,1774177431388,2.719
Clustalw2,C1-node2,worker-c1-2,1774177405148,1774177428354,23.206
