task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177331389,1774177334004,2.615
Blast2,C1-node2,worker-c1-2,1774177292314,1774177307666,15.352
Blast1,C1-node1,worker-c1-1,1774177292316,1774177307671,15.355
Drawgram2,C1-node2,worker-c1-2,1774177334007,1774177338381,4.374
Drawgram1,C1-node1,worker-c1-1,1774177334008,1774177338376,4.368
Clustalw1,C1-node1,worker-c1-1,1774177307679,1774177331378,23.699
Protpars,C1-node2,worker-c1-2,1774177331392,1774177333926,2.534
Clustalw2,C1-node2,worker-c1-2,1774177307677,1774177331384,23.707
