task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258488852,1774258489141,0.289
Blast2,C1-node2,worker-c1-2,1774258486524,1774258487437,0.913
Blast1,C1-node1,worker-c1-1,1774258486528,1774258487433,0.905
Drawgram2,C1-node2,worker-c1-2,1774258489145,1774258489414,0.269
Drawgram1,C1-node1,worker-c1-1,1774258489144,1774258489410,0.266
Clustalw1,C1-node1,worker-c1-1,1774258487442,1774258488843,1.401
Protpars,C1-node2,worker-c1-2,1774258488853,1774258489135,0.282
Clustalw2,C1-node2,worker-c1-2,1774258487440,1774258488847,1.407
