task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177835559,1774177839124,3.565
Blast2,C1-node2,worker-c1-2,1774177796324,1774177811995,15.671
Blast1,C1-node1,worker-c1-1,1774177796322,1774177811838,15.516
Drawgram2,C1-node2,worker-c1-2,1774177839131,1774177841914,2.783
Drawgram1,C1-node1,worker-c1-1,1774177839128,1774177841923,2.795
Clustalw1,C1-node1,worker-c1-1,1774177812002,1774177835549,23.547
Protpars,C1-node2,worker-c1-2,1774177835563,1774177839118,3.555
Clustalw2,C1-node2,worker-c1-2,1774177811999,1774177835553,23.554
