task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258402920,1774258403210,0.290
Blast2,C1-node2,worker-c1-2,1774258400566,1774258401489,0.923
Blast1,C1-node1,worker-c1-1,1774258400564,1774258401487,0.923
Drawgram2,C1-node2,worker-c1-2,1774258403215,1774258403518,0.303
Drawgram1,C1-node1,worker-c1-1,1774258403213,1774258403520,0.307
Clustalw1,C1-node1,worker-c1-1,1774258401495,1774258402915,1.420
Protpars,C1-node2,worker-c1-2,1774258402918,1774258403207,0.289
Clustalw2,C1-node2,worker-c1-2,1774258401492,1774258402887,1.395
