task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177677255,1774177680159,2.904
Blast2,C1-node2,worker-c1-2,1774177636750,1774177652939,16.189
Blast1,C1-node1,worker-c1-1,1774177636747,1774177652933,16.186
Drawgram2,C1-node2,worker-c1-2,1774177680164,1774177683020,2.856
Drawgram1,C1-node1,worker-c1-1,1774177680166,1774177683068,2.902
Clustalw1,C1-node1,worker-c1-1,1774177652949,1774177677228,24.279
Protpars,C1-node2,worker-c1-2,1774177677258,1774177680065,2.807
Clustalw2,C1-node2,worker-c1-2,1774177652944,1774177677249,24.305
