task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C2-node1,worker-c2-1,1774258275053,1774258275651,0.598
Blast2,C2-node1,worker-c2-1,1774258262758,1774258264990,2.232
Blast1,C1-node1,worker-c1-1,1774258262762,1774258263564,0.802
Drawgram2,C1-node1,worker-c1-1,1774258275658,1774258275936,0.278
Drawgram1,C2-node1,worker-c2-1,1774258275661,1774258276198,0.537
Clustalw1,C1-node1,worker-c1-1,1774258264996,1774258266361,1.365
Protpars,C1-node1,worker-c1-1,1774258272150,1774258272442,0.292
Clustalw2,C1-node1,worker-c1-1,1774258270824,1774258272143,1.319
