task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177571373,1774177573771,2.398
Blast2,C1-node2,worker-c1-2,1774177536158,1774177550587,14.429
Blast1,C1-node1,worker-c1-1,1774177536156,1774177550703,14.547
Drawgram2,C1-node2,worker-c1-2,1774177573787,1774177576123,2.336
Drawgram1,C1-node1,worker-c1-1,1774177573784,1774177576134,2.350
Clustalw1,C1-node1,worker-c1-1,1774177550707,1774177571368,20.661
Protpars,C1-node2,worker-c1-2,1774177571376,1774177573776,2.400
Clustalw2,C1-node2,worker-c1-2,1774177550709,1774177571325,20.616
