task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774177729691,1774177732507,2.816
Blast2,C1-node2,worker-c1-2,1774177690438,1774177705826,15.388
Blast1,C1-node1,worker-c1-1,1774177690436,1774177705831,15.395
Drawgram2,C1-node2,worker-c1-2,1774177732518,1774177734960,2.442
Drawgram1,C1-node1,worker-c1-1,1774177732514,1774177734966,2.452
Clustalw1,C1-node1,worker-c1-1,1774177705839,1774177729687,23.848
Protpars,C1-node2,worker-c1-2,1774177729694,1774177732500,2.806
Clustalw2,C1-node2,worker-c1-2,1774177705836,1774177729564,23.728
