task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774258296136,1774258296412,0.276
Blast2,C1-node2,worker-c1-2,1774258293848,1774258294747,0.899
Blast1,C1-node1,worker-c1-1,1774258293851,1774258294724,0.873
Drawgram2,C1-node2,worker-c1-2,1774258296419,1774258296690,0.271
Drawgram1,C1-node1,worker-c1-1,1774258296418,1774258296700,0.282
Clustalw1,C1-node1,worker-c1-1,1774258294751,1774258296130,1.379
Protpars,C1-node2,worker-c1-2,1774258296139,1774258296415,0.276
Clustalw2,C1-node2,worker-c1-2,1774258294752,1774258296132,1.380
