task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Dnapars,C1-node1,worker-c1-1,1774175794597,1774175797341,2.744
Blast2,C1-node2,worker-c1-2,1774175753522,1774175770001,16.479
Blast1,C1-node1,worker-c1-1,1774175753517,1774175769905,16.388
Drawgram2,C1-node2,worker-c1-2,1774175797378,1774175800217,2.839
Drawgram1,C1-node1,worker-c1-1,1774175797382,1774175800224,2.842
Clustalw1,C1-node1,worker-c1-1,1774175770013,1774175794501,24.488
Protpars,C1-node2,worker-c1-2,1774175794601,1774175797372,2.771
Clustalw2,C1-node2,worker-c1-2,1774175770008,1774175794590,24.582
